open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-03-28 01:15:00,185.116,185.124,184.202,184.372,144374,2024-03-28 01:19:59.999,7821.04696977,1809,74612,4042.09848742,0
2024-03-28 01:20:00,184.380,184.908,184.298,184.908,87825,2024-03-28 01:24:59.999,4757.18660171,1267,54028,2926.59646829,0
2024-03-28 01:25:00,184.914,185.041,184.202,184.394,110706,2024-03-28 01:29:59.999,5995.68932724,1516,45755,2478.43251674,0
2024-03-28 01:30:00,184.393,184.867,183.631,184.856,173065,2024-03-28 01:34:59.999,9399.03836493,2112,88098,4784.34387951,0
2024-03-28 01:35:00,184.856,185.356,184.745,184.754,115487,2024-03-28 01:39:59.999,6240.33672702,1645,56443,3049.98089235,0
2024-03-28 01:40:00,184.756,185.229,184.675,184.675,137505,2024-03-28 01:44:59.999,7435.34320173,1655,51283,2773.06715500,0
2024-03-28 01:45:00,184.669,184.981,184.367,184.379,181153,2024-03-28 01:49:59.999,9808.39245565,1743,82271,4454.97440465,0
2024-03-28 01:50:00,184.376,184.486,184.099,184.340,62185,2024-03-28 01:54:59.999,3374.24614513,999,33845,1836.60867594,0
2024-03-28 01:55:00,184.336,184.730,184.292,184.431,49536,2024-03-28 01:59:59.999,2685.27014549,824,23521,1274.94192179,0
2024-03-28 02:00:00,184.431,185.097,184.105,184.980,78916,2024-03-28 02:04:59.999,4276.16910305,1099,45056,2441.40896840,0
2024-03-28 02:05:00,184.967,185.104,184.803,184.832,38674,2024-03-28 02:09:59.999,2091.22873536,722,22590,1221.58498291,0
2024-03-28 02:10:00,184.826,185.082,184.826,185.028,42084,2024-03-28 02:14:59.999,2275.15695229,817,27450,1484.00479883,0
2024-03-28 02:15:00,185.036,185.061,183.980,184.256,186072,2024-03-28 02:19:59.999,10092.02212459,1922,70447,3820.86648280,0
2024-03-28 02:20:00,184.257,184.293,183.535,183.561,159370,2024-03-28 02:24:59.999,8668.19482669,1402,54268,2951.98005943,0
2024-03-28 02:25:00,183.589,183.589,183.266,183.357,90405,2024-03-28 02:29:59.999,4927.89012059,963,39533,2154.82455823,0
2024-03-28 02:30:00,183.356,183.356,182.101,182.283,257570,2024-03-28 02:34:59.999,14101.48807791,2703,101365,5551.02170776,0
2024-03-28 02:35:00,182.293,182.516,181.521,181.816,289703,2024-03-28 02:39:59.999,15920.22544570,2353,120311,6610.15484266,0
2024-03-28 02:40:00,181.816,181.893,181.516,181.516,203033,2024-03-28 02:44:59.999,11172.99036074,1864,99199,5458.59604967,0
2024-03-28 02:45:00,181.514,182.142,181.279,181.635,221644,2024-03-28 02:49:59.999,12195.74301384,2387,104634,5757.47634611,0
2024-03-28 02:50:00,181.636,181.790,181.290,181.588,201794,2024-03-28 02:54:59.999,11112.95780530,1637,118189,6508.64730651,0
2024-03-28 02:55:00,181.598,182.087,181.564,182.087,78980,2024-03-28 02:59:59.999,4345.47638739,1142,38961,2143.48657442,0
2024-03-28 03:00:00,182.087,182.415,181.802,182.306,99709,2024-03-28 03:04:59.999,5476.15040472,1241,50485,2772.17975170,0
2024-03-28 03:05:00,182.327,182.581,182.047,182.137,85070,2024-03-28 03:09:59.999,4665.46846239,981,50361,2762.03436877,0
2024-03-28 03:10:00,182.137,182.224,181.989,182.062,61423,2024-03-28 03:14:59.999,3372.95930285,673,34447,1891.72899478,0
2024-03-28 03:15:00,182.062,182.169,181.823,182.013,102317,2024-03-28 03:19:59.999,5622.40821844,1058,43984,2417.12113410,0
2024-03-28 03:20:00,182.016,182.092,181.651,181.802,100058,2024-03-28 03:24:59.999,5500.51670702,1163,51073,2807.43130630,0
2024-03-28 03:25:00,181.802,181.853,181.231,181.645,61508,2024-03-28 03:29:59.999,3389.61324984,989,18164,1001.04325689,0
2024-03-28 03:30:00,181.646,182.085,181.645,181.948,106518,2024-03-28 03:34:59.999,5857.47382569,1107,67040,3687.14985102,0
2024-03-28 03:35:00,181.948,181.980,181.081,181.135,104860,2024-03-28 03:39:59.999,5780.22380402,1476,36011,1984.90009616,0
