open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-23 12:40:00,2203.26,2213.97,2202.92,2210.92,323589,2024-01-23 12:44:59.999,1464.86572192,1920,194348,879.72315648,0
2024-01-23 12:45:00,2210.92,2214.29,2206.71,2214.00,267416,2024-01-23 12:49:59.999,1209.72264865,1565,155899,705.22728582,0
2024-01-23 12:50:00,2214.00,2218.70,2212.65,2216.29,589771,2024-01-23 12:54:59.999,2660.89551593,2338,312722,1411.03794887,0
2024-01-23 12:55:00,2216.29,2223.49,2216.03,2222.37,471029,2024-01-23 12:59:59.999,2120.96314897,2344,250043,1125.99804485,0
2024-01-23 13:00:00,2222.30,2222.95,2219.00,2219.01,439104,2024-01-23 13:04:59.999,1977.12312746,1777,274069,1234.01656498,0
2024-01-23 13:05:00,2219.01,2219.77,2214.30,2217.03,327728,2024-01-23 13:09:59.999,1477.96841155,1543,134196,605.49254544,0
2024-01-23 13:10:00,2217.03,2217.04,2212.00,2213.37,268736,2024-01-23 13:14:59.999,1214.19525402,1387,125939,568.95481196,0
2024-01-23 13:15:00,2213.37,2216.12,2212.73,2213.22,169107,2024-01-23 13:19:59.999,763.68460258,1093,80076,361.64744142,0
2024-01-23 13:20:00,2213.21,2215.82,2211.27,2211.27,264872,2024-01-23 13:24:59.999,1196.94051952,1348,74914,338.50149105,0
2024-01-23 13:25:00,2211.27,2213.29,2207.77,2208.27,169416,2024-01-23 13:29:59.999,766.59358314,1143,65024,294.21578683,0
2024-01-23 13:30:00,2208.27,2209.99,2202.47,2208.53,419744,2024-01-23 13:34:59.999,1902.25308753,2160,223879,1014.74116686,0
2024-01-23 13:35:00,2208.53,2216.25,2208.53,2212.36,286535,2024-01-23 13:39:59.999,1295.11373864,1349,172908,781.74969716,0
2024-01-23 13:40:00,2212.36,2213.10,2206.28,2210.00,161397,2024-01-23 13:44:59.999,730.77644223,1146,69246,313.51779306,0
2024-01-23 13:45:00,2210.00,2210.51,2203.55,2204.42,159015,2024-01-23 13:49:59.999,720.54020095,1265,68781,311.72575409,0
2024-01-23 13:50:00,2204.42,2208.64,2203.54,2204.66,218172,2024-01-23 13:54:59.999,989.15396257,1489,126303,572.66378628,0
2024-01-23 13:55:00,2204.67,2205.18,2195.33,2197.47,685072,2024-01-23 13:59:59.999,3114.61717237,3019,334808,1521.97378902,0
2024-01-23 14:00:00,2197.46,2197.46,2178.68,2180.75,2885379,2024-01-23 14:04:59.999,13189.99682230,10011,1195526,5464.97936675,0
2024-01-23 14:05:00,2180.94,2187.28,2171.39,2175.29,2060859,2024-01-23 14:09:59.999,9464.89055428,7888,821708,3773.45247253,0
2024-01-23 14:10:00,2175.36,2181.83,2166.01,2180.57,1410366,2024-01-23 14:14:59.999,6490.43077219,6578,668526,3076.13754374,0
2024-01-23 14:15:00,2180.47,2186.64,2169.18,2172.87,1024403,2024-01-23 14:19:59.999,4706.50257936,4464,533842,2453.49410602,0
