open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2024-01-04 10:00:00,98.575,99.131,96.669,98.439,759160,2024-01-04 10:59:59.999,77553.73523826,16511,372481,38058.93443234,0
2024-01-04 11:00:00,98.458,99.013,97.653,98.615,426355,2024-01-04 11:59:59.999,43338.59791656,10598,218488,22207.37593315,0
2024-01-04 12:00:00,98.622,99.957,98.242,99.475,591062,2024-01-04 12:59:59.999,59524.9728597,15671,311399,31359.18555489,0
2024-01-04 13:00:00,99.515,100.616,98.204,100.028,488783,2024-01-04 13:59:59.999,49169.76739956,14307,222082,22336.6648123,0
2024-01-04 14:00:00,99.994,102.403,99.489,102.403,722183,2024-01-04 14:59:59.999,71587.01728658,19040,380900,37738.60760793,0
2024-01-04 15:00:00,102.394,104.544,101.682,103.801,1257541,2024-01-04 15:59:59.999,121689.32052309,33008,596655,57730.21115474,0
2024-01-04 16:00:00,103.801,104.156,101.8,102.149,803449,2024-01-04 16:59:59.999,78263.99892807,21803,357951,34870.07502663,0
2024-01-04 17:00:00,102.161,103.885,101.654,103.23,736338,2024-01-04 17:59:59.999,71562.09503711,18584,396721,38548.12066646,0
2024-01-04 18:00:00,103.211,104.129,102.789,103.781,436040,2024-01-04 18:59:59.999,42139.65833711,10736,213427,20627.56492519,0
2024-01-04 19:00:00,103.762,107.034,103.699,105.347,1304322,2024-01-04 19:59:59.999,123476.33858031,32603,672951,63705.31166342,0
2024-01-04 20:00:00,105.328,108.375,105.327,106.485,1406708,2024-01-04 20:59:59.999,131387.95871124,33952,739657,69107.13154386,0
2024-01-04 21:00:00,106.486,107.285,105.418,105.785,848092,2024-01-04 21:59:59.999,79776.14920712,19748,432163,40649.39306542,0
2024-01-04 22:00:00,105.796,107.027,104.542,104.965,711295,2024-01-04 22:59:59.999,67087.07015015,15086,284592,26829.24877057,0
2024-01-04 23:00:00,104.982,105.555,104.577,105.068,290933,2024-01-04 23:59:59.999,27696.93420524,6635,153389,14601.57903835,0
2024-01-05 00:00:00,105.088,105.654,102.897,104.257,557627,2024-01-05 00:59:59.999,53527.20567793,14438,261624,25104.22364372,0
2024-01-05 01:00:00,104.247,104.801,98.334,101.161,1263690,2024-01-05 01:59:59.999,124657.23010282,38719,566444,55811.09584018,0
2024-01-05 02:00:00,101.148,102.681,100.599,101.172,831706,2024-01-05 02:59:59.999,81809.6746345,23829,387407,38100.71460006,0
2024-01-05 03:00:00,101.17,102.114,100.537,101.133,349309,2024-01-05 03:59:59.999,34489.14887657,10531,161829,15969.24978556,0
2024-01-05 04:00:00,101.112,101.537,100.15,100.913,500127,2024-01-05 04:59:59.999,49613.08954991,13421,249518,24748.28813306,0
2024-01-05 05:00:00,100.919,102.32,100.72,101.514,588856,2024-01-05 05:59:59.999,58040.47607748,11777,344416,33950.52744811,0
2024-01-05 06:00:00,101.518,101.882,100.642,101.668,339780,2024-01-05 06:59:59.999,33527.58177644,8131,156036,15398.517209,0
2024-01-05 07:00:00,101.676,102.196,101.188,101.224,282663,2024-01-05 07:59:59.999,27816.66710835,7280,141077,13883.00680191,0
2024-01-05 08:00:00,101.243,102.441,101.235,101.629,317102,2024-01-05 08:59:59.999,31165.49174417,7603,155116,15247.37231639,0
2024-01-05 09:00:00,101.63,103.2,101.556,102.721,744354,2024-01-05 09:59:59.999,72619.13766633,16624,392478,38280.38665348,0
2024-01-05 10:00:00,102.73,102.919,99.174,100.192,715261,2024-01-05 10:59:59.999,70885.37241088,16418,338997,33584.90431782,0
2024-01-05 11:00:00,100.19,100.825,99.379,99.702,734761,2024-01-05 11:59:59.999,73363.69895241,16506,301808,30115.67224489,0
2024-01-05 12:00:00,99.712,101.103,98.775,100.663,760564,2024-01-05 12:59:59.999,76112.73302761,15184,347047,34682.64360458,0
2024-01-05 13:00:00,100.672,101.483,99.909,100.843,566077,2024-01-05 13:59:59.999,56211.1218546,13691,288803,28681.54056747,0
2024-01-05 14:00:00,100.841,101.297,96.924,97.535,1669136,2024-01-05 14:59:59.999,169049.44377714,31484,723496,73220.29703901,0
2024-01-05 15:00:00,97.546,99.161,97.393,98.124,819643,2024-01-05 15:59:59.999,83475.92848936,20466,420028,42776.32955126,0
2024-01-05 16:00:00,98.143,98.55,95.883,96.187,739742,2024-01-05 16:59:59.999,75904.0192374,17148,351327,36041.60919822,0
2024-01-05 17:00:00,96.197,98.106,94.761,97.893,1029968,2024-01-05 17:59:59.999,106646.3213275,20176,473490,48966.57080979,0
2024-01-05 18:00:00,97.899,98.405,97.167,98.06,320566,2024-01-05 18:59:59.999,32780.39889459,6044,151043,15442.88796603,0
2024-01-05 19:00:00,98.054,98.972,97.715,98.028,321085,2024-01-05 19:59:59.999,32662.55385392,7173,167107,17002.81512806,0
2024-01-05 20:00:00,98.042,100.297,98.042,99.728,503574,2024-01-05 20:59:59.999,50789.7868906,10663,286573,28909.4618775,0
2024-01-05 21:00:00,99.701,99.703,98.221,99.255,431737,2024-01-05 21:59:59.999,43659.24839037,8205,168454,17023.89151516,0
2024-01-05 22:00:00,99.246,99.984,97.933,99.296,313762,2024-01-05 22:59:59.999,31682.77875453,6311,137616,13882.21430978,0
2024-01-05 23:00:00,99.305,100.5,99.305,100.0,463191,2024-01-05 23:59:59.999,46281.96871157,8428,212673,21248.12366006,0
2024-01-06 00:00:00,100.0,100.392,98.561,99.181,308882,2024-01-06 00:59:59.999,31074.40204042,6840,134994,13576.72485222,0
2024-01-06 01:00:00,99.175,99.176,97.885,98.453,323682,2024-01-06 01:59:59.999,32919.83119498,6728,136966,13923.15322292,0
2024-01-06 02:00:00,98.451,99.261,98.1,98.869,156873,2024-01-06 02:59:59.999,15898.46137711,4336,72768,7374.70632929,0
2024-01-06 03:00:00,98.871,99.62,98.27,98.778,256510,2024-01-06 03:59:59.999,25920.23594888,5431,101738,10280.24245859,0
2024-01-06 04:00:00,98.781,99.036,97.401,97.44,217686,2024-01-06 04:59:59.999,22159.58045116,5575,95059,9671.73157458,0
2024-01-06 05:00:00,97.451,97.643,93.621,94.497,883110,2024-01-06 05:59:59.999,92427.35654687,20517,411078,42955.86841729,0
2024-01-06 06:00:00,94.515,94.74,91.622,92.147,1285450,2024-01-06 06:59:59.999,138116.35698711,30184,559646,60099.31478392,0
2024-01-06 07:00:00,92.142,94.587,92.099,94.558,581683,2024-01-06 07:59:59.999,62379.67165285,12078,333110,35737.12164465,0
2024-01-06 08:00:00,94.572,95.361,93.78,95.334,529170,2024-01-06 08:59:59.999,55986.35058035,9013,272258,28797.39492838,0
2024-01-06 09:00:00,95.343,95.789,94.767,95.063,282336,2024-01-06 09:59:59.999,29626.08248561,5797,150491,15792.29083601,0
